"movie_name","score","rating","length","score_group","length_group"
"The Shawshank Redemption",9.3,"R",142,"High rating","Long flim"
"The Godfather",9.2,"R",175,"High rating","Long flim"
"The Dark Knight",9,"PG-13",152,"High rating","Long flim"
"The Godfather: Part II",9,"R",202,"High rating","Long flim"
"The Lord of the Rings: The Return of the King",8.9,"PG-13",201,"Low rating","Long flim"
"Pulp Fiction",8.9,"R",154,"Low rating","Long flim"
"Schindler's List",8.9,"R",195,"Low rating","Long flim"
"12 Angry Men",8.9,"Approved",96,"Low rating","Short flim"
"Inception",8.8,"PG-13",148,"Low rating","Long flim"
"Fight Club",8.8,"R",139,"Low rating","Long flim"
"The Lord of the Rings: The Fellowship of the Ring",8.8,"PG-13",178,"Low rating","Long flim"
"Forrest Gump",8.8,"PG-13",142,"Low rating","Long flim"
"The Good, the Bad and the Ugly",8.8,"R",178,"Low rating","Long flim"
"Hamilton",8.7,"PG-13",160,"Low rating","Long flim"
"The Lord of the Rings: The Two Towers",8.7,"PG-13",179,"Low rating","Long flim"
"The Matrix",8.7,"R",136,"Low rating","Long flim"
"Goodfellas",8.7,"R",146,"Low rating","Long flim"
"Star Wars: Episode V - The Empire Strikes Back",8.7,"PG",124,"Low rating","Long flim"
"One Flew Over the Cuckoo's Nest",8.7,"R",133,"Low rating","Long flim"
"Parasite",8.6,"R",132,"Low rating","Long flim"
"Interstellar",8.6,"PG-13",169,"Low rating","Long flim"
"City of God",8.6,"R",130,"Low rating","Long flim"
"Spirited Away",8.6,"PG",125,"Low rating","Long flim"
"Saving Private Ryan",8.6,"R",169,"Low rating","Long flim"
"The Green Mile",8.6,"R",189,"Low rating","Long flim"
"Life Is Beautiful",8.6,"PG-13",116,"Low rating","Short flim"
"Se7en",8.6,"R",127,"Low rating","Long flim"
"The Silence of the Lambs",8.6,"R",118,"Low rating","Short flim"
"Star Wars: Episode IV - A New Hope",8.6,"PG",121,"Low rating","Long flim"
"Harakiri",8.6,"Not Rated",133,"Low rating","Long flim"
"Seven Samurai",8.6,"Not Rated",207,"Low rating","Long flim"
"It's a Wonderful Life",8.6,"PG",130,"Low rating","Long flim"
"Joker",8.5,"R",122,"Low rating","Long flim"
"Whiplash",8.5,"R",106,"Low rating","Short flim"
"The Intouchables",8.5,"R",112,"Low rating","Short flim"
"The Prestige",8.5,"PG-13",130,"Low rating","Long flim"
"The Departed",8.5,"R",151,"Low rating","Long flim"
"The Pianist",8.5,"R",150,"Low rating","Long flim"
"Gladiator",8.5,"R",155,"Low rating","Long flim"
"American History X",8.5,"R",119,"Low rating","Short flim"
"The Usual Suspects",8.5,"R",106,"Low rating","Short flim"
"Léon: The Professional",8.5,"R",110,"Low rating","Short flim"
"The Lion King",8.5,"G",88,"Low rating","Short flim"
"Terminator 2: Judgment Day",8.5,"R",137,"Low rating","Long flim"
"Cinema Paradiso",8.5,"R",155,"Low rating","Long flim"
"Grave of the Fireflies",8.5,"Not Rated",89,"Low rating","Short flim"
"Back to the Future",8.5,"PG",116,"Low rating","Short flim"
"Anand",8.5,"Not Rated",122,"Low rating","Long flim"
"Once Upon a Time in the West",8.5,"PG-13",165,"Low rating","Long flim"
"Psycho",8.5,"R",109,"Low rating","Short flim"
"Casablanca",8.5,"PG",102,"Low rating","Short flim"
"Modern Times",8.5,"G",87,"Low rating","Short flim"
"City Lights",8.5,"G",87,"Low rating","Short flim"
"Capharnaüm",8.4,"R",126,"Low rating","Long flim"
"Ayla: The Daughter of War",8.4,"",125,"Low rating","Long flim"
"Your Name.",8.4,"PG",106,"Low rating","Short flim"
"Dangal",8.4,"Not Rated",161,"Low rating","Long flim"
"Spider-Man: Into the Spider-Verse",8.4,"PG",117,"Low rating","Short flim"
"Avengers: Endgame",8.4,"PG-13",181,"Low rating","Long flim"
"Avengers: Infinity War",8.4,"PG-13",149,"Low rating","Long flim"
"Coco",8.4,"PG",105,"Low rating","Short flim"
"Django Unchained",8.4,"R",165,"Low rating","Long flim"
"The Dark Knight Rises",8.4,"PG-13",164,"Low rating","Long flim"
"3 Idiots",8.4,"PG-13",170,"Low rating","Long flim"
"Taare Zameen Par",8.4,"PG",165,"Low rating","Long flim"
"WALL·E",8.4,"G",98,"Low rating","Short flim"
"The Lives of Others",8.4,"R",137,"Low rating","Long flim"
"Oldboy",8.4,"R",120,"Low rating","Long flim"
"Memento",8.4,"R",113,"Low rating","Short flim"
"Princess Mononoke",8.4,"PG-13",134,"Low rating","Long flim"
"Once Upon a Time in America",8.4,"R",229,"Low rating","Long flim"
"Raiders of the Lost Ark",8.4,"PG",115,"Low rating","Short flim"
"The Shining",8.4,"R",146,"Low rating","Long flim"
"Apocalypse Now",8.4,"R",147,"Low rating","Long flim"
"Alien",8.4,"R",117,"Low rating","Short flim"
"High and Low",8.4,"Not Rated",143,"Low rating","Long flim"
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",8.4,"PG",95,"Low rating","Short flim"
"Witness for the Prosecution",8.4,"Approved",116,"Low rating","Short flim"
"Paths of Glory",8.4,"Approved",88,"Low rating","Short flim"
"Rear Window",8.4,"PG",112,"Low rating","Short flim"
"Sunset Blvd.",8.4,"Passed",110,"Low rating","Short flim"
"The Great Dictator",8.4,"Passed",125,"Low rating","Long flim"
"1917",8.3,"R",119,"Low rating","Short flim"
"Uri: The Surgical Strike",8.3,"Not Rated",138,"Low rating","Long flim"
"Tumbbad",8.3,"Not Rated",104,"Low rating","Short flim"
"Andhadhun",8.3,"Not Rated",139,"Low rating","Long flim"
"Drishyam",8.3,"Not Rated",160,"Low rating","Long flim"
"The Hunt",8.3,"R",115,"Low rating","Short flim"
"A Separation",8.3,"PG-13",123,"Low rating","Long flim"
"Incendies",8.3,"R",131,"Low rating","Long flim"
"Yedinci Kogustaki Mucize",8.3,"",132,"Low rating","Long flim"
"Babam ve Oglum",8.3,"",112,"Low rating","Short flim"
"Toy Story 3",8.3,"G",103,"Low rating","Short flim"
"Inglourious Basterds",8.3,"R",153,"Low rating","Long flim"
"Eternal Sunshine of the Spotless Mind",8.3,"R",108,"Low rating","Short flim"
"Amélie",8.3,"R",122,"Low rating","Long flim"
"Snatch",8.3,"R",102,"Low rating","Short flim"
"Requiem for a Dream",8.3,"R",102,"Low rating","Short flim"
"American Beauty",8.3,"R",122,"Low rating","Long flim"
"Good Will Hunting",8.3,"R",126,"Low rating","Long flim"
